threshold,accuracy,balanced_accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate,model
0.7000000000000001,0.8608659100462379,0.7764241216506089,0.532520325203252,0.6553640911617565,0.5875903314228756,1179,9061,1035,620,0.18612862547288778,gradient_boosting_light
0.65,0.848255569567045,0.7781317418375591,0.498772504091653,0.6775986659255142,0.5745934480320528,1219,8871,1225,580,0.20546448087431693,random_forest_light
0.55,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,decision_tree_depth4
0.65,0.8279949558638083,0.7552327560918242,0.45229818462726923,0.650917176209005,0.5337283500455788,1171,8678,1418,628,0.21765447667087012,logistic_regression_baseline
