model,threshold,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate,selected_threshold,selected_accuracy,selected_balanced_accuracy,selected_precision,selected_recall,selected_f1_score,selected_true_positive,selected_true_negative,selected_false_positive,selected_false_negative,selected_predicted_positive_rate,model_role
gradient_boosting_light,0.5,0.7879781420765027,0.8054347249176115,0.40258690379951495,0.830461367426348,0.5422867513611616,0.8796215034941932,0.5823888000478843,1494,7879,2217,305,0.3119798234552333,0.7000000000000001,0.8608659100462379,0.7764241216506089,0.532520325203252,0.6553640911617565,0.5875903314228756,1179,9061,1035,620,0.18612862547288778,Boosting benchmark
random_forest_light,0.5,0.7938629676334594,0.8043332920032171,0.40933074146070536,0.8193440800444691,0.5459259259259259,0.878701321124872,0.5762484437383693,1474,7969,2127,325,0.30273224043715846,0.65,0.848255569567045,0.7781317418375591,0.498772504091653,0.6775986659255142,0.5745934480320528,1219,8871,1225,580,0.20546448087431693,Tree ensemble benchmark
logistic_regression_baseline,0.5,0.7708280790248003,0.7724909517877955,0.37523553162853296,0.7748749305169539,0.5056220529561117,0.8372033701589808,0.495531786562356,1394,7775,2321,405,0.3123160992013451,0.65,0.8279949558638083,0.7552327560918242,0.45229818462726923,0.650917176209005,0.5337283500455788,1171,8678,1418,628,0.21765447667087012,Explainable baseline
decision_tree_depth4,0.5,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,0.853581052689071,0.4702442256953122,1566,7121,2975,233,0.3817570407734342,0.55,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,Interpretable non-linear benchmark
