model,threshold,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate
gradient_boosting_light,0.5,0.7879781420765027,0.8054347249176115,0.40258690379951495,0.830461367426348,0.5422867513611616,0.8796215034941932,0.5823888000478843,1494,7879,2217,305,0.3119798234552333
random_forest_light,0.5,0.7938629676334594,0.8043332920032171,0.40933074146070536,0.8193440800444691,0.5459259259259259,0.878701321124872,0.5762484437383693,1474,7969,2127,325,0.30273224043715846
logistic_regression_baseline,0.5,0.7708280790248003,0.7724909517877955,0.37523553162853296,0.7748749305169539,0.5056220529561117,0.8372033701589808,0.495531786562356,1394,7775,2321,405,0.3123160992013451
decision_tree_depth4,0.5,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,0.853581052689071,0.4702442256953122,1566,7121,2975,233,0.3817570407734342
